compound,created_at,retweet_count
0.4939,2022-03-30 03:39:31+00:00,200
0.5423,2022-03-30 03:39:30+00:00,237
-0.186,2022-03-30 03:39:23+00:00,245
0.4086,2022-03-30 03:39:17+00:00,134
0.8269,2022-03-30 03:39:06+00:00,30891
0.7717,2022-03-30 03:39:06+00:00,536
0.5473,2022-03-30 03:39:01+00:00,312
0.7184,2022-03-30 03:38:59+00:00,894
0.7184,2022-03-30 03:38:51+00:00,894
-0.5994,2022-03-30 03:38:47+00:00,630
0.4767,2022-03-30 03:38:44+00:00,371
0.7096,2022-03-30 03:38:42+00:00,305
0.7184,2022-03-30 03:38:35+00:00,894
-0.34,2022-03-30 03:38:30+00:00,219
0.3612,2022-03-30 03:38:27+00:00,113
-0.4767,2022-03-30 03:38:23+00:00,1273
0.7184,2022-03-30 03:38:23+00:00,894
0.1511,2022-03-30 03:38:21+00:00,114
-0.4588,2022-03-30 03:38:10+00:00,209
0.2003,2022-03-30 03:38:09+00:00,1194
0.4404,2022-03-30 03:38:07+00:00,156
-0.4939,2022-03-30 03:38:06+00:00,530
0.7351,2022-03-30 03:38:02+00:00,565
0.5473,2022-03-30 03:37:59+00:00,312
0.4767,2022-03-30 03:37:58+00:00,487
0.2263,2022-03-30 03:37:58+00:00,210
0.7184,2022-03-30 03:37:46+00:00,894
0.5473,2022-03-30 03:37:41+00:00,312
-0.5994,2022-03-30 03:37:37+00:00,630
0.7184,2022-03-30 03:37:35+00:00,894
-0.6703,2022-03-30 03:37:30+00:00,312
0.5473,2022-03-30 03:37:29+00:00,312
0.5473,2022-03-30 03:37:25+00:00,312
0.7184,2022-03-30 03:37:19+00:00,894
0.2263,2022-03-30 03:37:17+00:00,210
-0.8225,2022-03-30 03:37:15+00:00,291
0.4939,2022-03-30 03:37:14+00:00,319
0.7184,2022-03-30 03:37:07+00:00,894
0.2714,2022-03-30 03:37:05+00:00,640
0.3818,2022-03-30 03:37:01+00:00,22775
0.5473,2022-03-30 03:36:58+00:00,312
0.7717,2022-03-30 03:36:58+00:00,536
0.7184,2022-03-30 03:36:56+00:00,894
-0.8225,2022-03-30 03:36:55+00:00,326
0.1179,2022-03-30 03:36:48+00:00,135
0.5473,2022-03-30 03:36:46+00:00,312
0.7184,2022-03-30 03:36:44+00:00,894
0.5473,2022-03-30 03:36:42+00:00,325
0.4939,2022-03-30 03:36:40+00:00,319
0.8269,2022-03-30 03:36:36+00:00,30898
0.3384,2022-03-30 03:36:29+00:00,174
-0.5994,2022-03-30 03:36:28+00:00,638
0.4404,2022-03-30 03:36:25+00:00,158
-0.4767,2022-03-30 03:36:24+00:00,1277
0.7184,2022-03-30 03:36:23+00:00,920
-0.6166,2022-03-30 03:36:17+00:00,108
-0.4767,2022-03-30 03:36:17+00:00,1277
0.4199,2022-03-30 03:36:14+00:00,226
0.7184,2022-03-30 03:36:09+00:00,920
0.7096,2022-03-30 03:36:09+00:00,315
-0.8225,2022-03-30 03:36:08+00:00,127
-0.5994,2022-03-30 03:36:01+00:00,638
-0.6597,2022-03-30 03:36:01+00:00,3173
0.2732,2022-03-30 03:36:01+00:00,123
0.5473,2022-03-30 03:35:59+00:00,325
0.7184,2022-03-30 03:35:59+00:00,920
0.5473,2022-03-30 03:35:58+00:00,325
0.7351,2022-03-30 03:35:54+00:00,568
0.4767,2022-03-30 03:35:53+00:00,750
0.7184,2022-03-30 03:35:52+00:00,920
0.7184,2022-03-30 03:35:48+00:00,920
0.7717,2022-03-30 03:35:43+00:00,543
-0.3346,2022-03-30 03:35:40+00:00,424
-0.5574,2022-03-30 03:35:40+00:00,303
0.5423,2022-03-30 03:35:25+00:00,239
0.7096,2022-03-30 03:35:23+00:00,315
-0.4939,2022-03-30 03:35:19+00:00,534
0.7184,2022-03-30 03:34:59+00:00,921
0.7351,2022-03-30 03:34:51+00:00,152
-0.4767,2022-03-30 03:34:43+00:00,1277
0.7184,2022-03-30 03:34:39+00:00,921
-0.5994,2022-03-30 03:34:38+00:00,638
0.7184,2022-03-30 03:34:38+00:00,921
0.6166,2022-03-30 03:34:37+00:00,185
0.2714,2022-03-30 03:34:34+00:00,643
0.8269,2022-03-30 03:34:31+00:00,30898
0.7096,2022-03-30 03:34:30+00:00,341
0.7184,2022-03-30 03:34:28+00:00,921
0.1007,2022-03-30 03:34:26+00:00,1015
0.4939,2022-03-30 03:34:25+00:00,319
0.6166,2022-03-30 03:34:22+00:00,185
-0.5994,2022-03-30 03:34:22+00:00,638
0.3818,2022-03-30 03:34:18+00:00,514
0.6166,2022-03-30 03:34:15+00:00,185
-0.4939,2022-03-30 03:34:14+00:00,534
0.6124,2022-03-30 03:34:09+00:00,3567
-0.296,2022-03-30 03:34:04+00:00,372
-0.2732,2022-03-30 03:34:00+00:00,122
-0.4767,2022-03-30 03:33:57+00:00,1277
0.7096,2022-03-30 03:33:54+00:00,315
-0.296,2022-03-30 03:33:46+00:00,372
0.5882,2022-03-30 03:33:34+00:00,230
0.4199,2022-03-30 03:33:32+00:00,226
0.7096,2022-03-30 03:33:32+00:00,315
0.5423,2022-03-30 03:33:26+00:00,239
0.5473,2022-03-30 03:33:26+00:00,325
-0.3818,2022-03-30 03:33:24+00:00,333
0.2263,2022-03-30 03:33:24+00:00,181
0.7184,2022-03-30 03:33:17+00:00,921
0.2263,2022-03-30 03:33:14+00:00,213
-0.296,2022-03-30 03:33:10+00:00,372
0.7351,2022-03-30 03:33:10+00:00,568
-0.3818,2022-03-30 03:33:07+00:00,333
-0.3595,2022-03-30 03:33:05+00:00,209
-0.8225,2022-03-30 03:32:58+00:00,326
0.2263,2022-03-30 03:32:51+00:00,181
-0.7297,2022-03-30 03:32:43+00:00,129
0.4767,2022-03-30 03:32:41+00:00,375
0.4199,2022-03-30 03:32:37+00:00,226
-0.4019,2022-03-30 03:32:32+00:00,249
-0.1027,2022-03-30 03:32:25+00:00,370
0.7184,2022-03-30 03:32:16+00:00,921
0.7717,2022-03-30 03:32:15+00:00,543
0.5473,2022-03-30 03:32:08+00:00,326
0.5473,2022-03-30 03:32:05+00:00,326
-0.5994,2022-03-30 03:32:04+00:00,638
0.8658,2022-03-30 03:32:03+00:00,103
0.6248,2022-03-30 03:32:02+00:00,373
0.6808,2022-03-30 03:32:01+00:00,110
-0.4389,2022-03-30 03:31:58+00:00,660
0.7184,2022-03-30 03:31:57+00:00,921
0.7184,2022-03-30 03:31:46+00:00,921
-0.5994,2022-03-30 03:31:46+00:00,2050
0.8269,2022-03-30 03:31:44+00:00,30899
0.4199,2022-03-30 03:31:43+00:00,226
0.8316,2022-03-30 03:31:31+00:00,719
